ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,data_quality_flag
462809,male,No,22,No,healthcare,1.0,Low,4.0,Cat_4,D,Complete
462643,female,Yes,38,Yes,engineer,0.0,Average,3.0,Cat_4,A,Complete
466315,female,Yes,67,Yes,engineer,1.0,Low,1.0,Cat_6,B,Complete
461735,male,Yes,67,Yes,lawyer,0.0,High,2.0,Cat_6,B,Complete
462669,female,Yes,40,Yes,entertainment,0.0,High,6.0,Cat_6,A,Complete
461319,male,Yes,56,No,artist,0.0,Average,2.0,Cat_6,C,Complete
460156,male,No,32,Yes,healthcare,1.0,Low,3.0,Cat_6,C,Complete
464347,female,No,33,Yes,healthcare,1.0,Low,3.0,Cat_6,D,Complete
465015,female,Yes,61,Yes,engineer,0.0,Low,3.0,Cat_7,D,Complete
465176,female,Yes,55,Yes,artist,1.0,Average,4.0,Cat_6,C,Complete
464041,female,No,26,Yes,engineer,1.0,Low,3.0,Cat_6,A,Complete
464942,male,No,19,No,healthcare,4.0,Low,4.0,Cat_4,D,Complete
461230,female,No,19,No,executive,0.0,Low,0.0,Cat_3,D,Complete
459573,male,Yes,70,No,lawyer,0.0,Low,1.0,Cat_6,A,Complete
460849,female,Yes,58,No,doctor,0.0,Low,1.0,Cat_3,B,Complete
460563,female,No,41,No,healthcare,1.0,Low,2.0,Cat_1,C,Complete
466865,female,No,32,No,homemaker,9.0,Low,5.0,Cat_3,D,Complete
461644,male,No,31,No,healthcare,1.0,Low,6.0,Cat_6,B,Complete
466772,male,Yes,58,Yes,entertainment,1.0,Average,4.0,Cat_6,B,Complete
464291,female,Yes,79,Yes,artist,0.0,High,1.0,Cat_6,C,Complete
466084,male,Yes,49,Yes,homemaker,12.0,Low,1.0,Cat_3,A,Complete
459675,female,No,18,No,healthcare,3.0,Low,4.0,Cat_6,D,Complete
465602,male,Yes,33,Yes,artist,13.0,Low,2.0,Cat_3,A,Complete
459168,female,No,36,Yes,artist,5.0,Low,2.0,Cat_6,B,Complete
461021,female,Unknown,58,No,executive,1.0,Average,3.0,Cat_3,B,Incomplete
465083,male,Yes,56,No,artist,1.0,Average,3.0,Cat_6,C,Complete
467604,male,No,31,No,healthcare,9.0,Low,8.0,Cat_4,A,Complete
459717,male,Yes,49,Yes,artist,1.0,Average,3.0,Cat_6,C,Complete
465882,male,No,35,Yes,artist,0.0,Low,1.0,Cat_6,B,Complete
461996,female,No,35,No,artist,5.0,Low,4.0,Cat_6,C,Complete
463331,female,Yes,45,Yes,artist,0.0,Low,3.0,Cat_6,C,Complete
462216,female,Yes,42,No,doctor,1.0,Low,2.0,Cat_4,A,Complete
